usage_atomique,occurrences
les autres parts sont sous art. 181,2
1/2 indéterminée d'un couvert indivis de 0a.10c en totalité,2
les autres parts sont portées sous articles 181,2
grandes loges,2
1/2 indéterminée d'une place indivise de 0a.62 en totalité,2
1/2 indéterminée d'une place indivise de 0a.18 en totalité,2
3405,2
les autres parts sont portées sous article 3409,2
1/2 indéterminée d'une place indivise de 0a.66c en totalité,2
1/2 indéterminée d'un étang soit place indivise de 0a.72c en totalité,2
1/2 indéterminée d'une place soit chemin indivis de 3a.78c en totalité,2
les autres parts sont portées sous art. 369,2
838,2
portion indéterminée d'un four de 0a.14c en totalité,2
1/3 indéterminé d'un four de 0a.18c en totalité,2
1/4 indéterminé d'un four de 0a.16 en totalité,2
2857,2
les autres parts sont sous art. 2828,2
soliveau,2
3189,2
les autres parts sont portées sous art. 316,2
3126,2
1/3 indéterminé d'une place indivise de 5a-19 en totalité; les autres parts sont portées sous art. 3173,2
fromagerie,2
1/2 d'une grange de 0a.18 en totalité,2
auberge,2
les autres parts sont portées sous art. 3284,2
1/8 indéterminé d'un four de 0a.24 en totalité,2
1/8 indéterminé d'une place indivise de 0a.08 en totalité,2
1/2 indéterminé d'un four de 0a.06c en totalité,2
468,2
les autres parts sont portées sous art. 606,2
magasin (droguerie),1
magasin d' huiles,1
maison d'habitation au nord de laquelle sont situées des caves portées sous article 2585,1
magasin de vernis,1
essences,1
dans ce bâtiment est une cave portée sous article 334,1
cave située dans le bâtiment porté sous article 3901,1
fabrique de tabacs,1
atelier de reliure,1
salle du tribunal,1
evêché,1
département de l'instruction publique,1
cathédrale,1
fabrique de parquets,1
magasin avec terrasse,1
caves au rez-de-chaussée au nord du bâtiment porté sous article 1725,1
maison d'habitation avec terrasses asphaltée au dessus,1
chambre à boire,1
dans ce bâtiment est située une cave notée sous article 3909,1
cave de 0a 46 c sous le rez-de-chaussée à occident du bâtiment porté sous article 1909,1
maison de ville,1
droguerie,1
dans ce bâtiment est uen cuisine de 0a.07 portée sous article 1441,1
magasin avec cuisine au 1er étage faisant saillie de 0a.07c dans celui porté sous article 3933,1
dans ce bâtiment est une cave portée sous article 2203,1
cave de 46 mètres située sous le rez-de-chaussée du bâtiment poré sous article 3911,1
hôtel (logements),1
fabrique de chocolats,1
hôtel du léman,1
l'autre part est sous article 621,1
l'autre part est sous article 858,1
atelier de charcutier,1
latrines du 0a. 01c. construite sur le sol indivis porté sous articles 1756,1
1668,1
l'autre part est sous article 1668,1
l'autre part est sous article 1756,1
caveau (terrasse dessus),1
magasin d'essences,1
vernis,1
huiles,1
synagogue,1
cave voûtée (terrasse dessus),1
remise (jardin dessus),1
portion de maison d'habitation au sud du bâtiment de 1a.93c en totalité,1
l'autre part sous article 2450,1
portion de maison d'habitation au nord du bâtiment de 1a.93c en totalité,1
l'autre part sous article 2437,1
bains (terrasse dessus),1
l'autre part est portée sous article 823,1
l'autre part est portée sous article 2257,1
echoppe de 0a.04 construite sur domaine public,1
halle au blé,1
kiosque de 01.25c sur domaine public,1
musée industriel,1
rez-de-chaussée et premier étage,1
l'autre part est portée sous article 3759,1
musée arlaud,1
deuxième et troisième étage de 3a.77,1
l'autre part est sous article 1919,1
débit,1
garde viande,1
magasin de 0.05c connstruit par besson,1
place de 0a.22 sur laquelle est construit un bâtiment porté sous article 2390,1
maison d'habitation de 0 are 22 centares construite sur le sol porté sous article 2103,1
fabrique de bois de fusils,1
hangar (séchoir),1
l'autre part est sous article 2473,1
l'autre part est sous article 2342,1
remise construit par abrezol,1
l'autre part est sous article 856,1
l'autre part est sous article 1168,1
l'autre part est sous article 2474,1
l'autre part est sous article 2343,1
château,1
hangar de la pompe,1
bureaus du département militaire,1
tour de saint-maire,1
tribunal cantonal,1
bâtiment du grand conseil,1
bureaux d'agriculture et du commerce et de l'inspecteur des bâtiments de l'etat,1
fosse,1
académie,1
musée,1
bibliothèque,1
école normale,1
magasin du matériel,1
ecole supérieure des filles,1
pavillon de 0a.35c construit sur le domaine public,1
lieux d'aisance,1
bureaux des ponts et chaussées et secours public,1
place sur laquelle repose un bâtiment construit par buanderie,1
le comité de la,1
couvert de 0a.22c construit par louis cuenoud charpentier,1
poulailler de 0a.11c construit par louis cuenoud charpentier,1
hangar du matériel,1
cave (place dessus),1
bâtiment soit passage voûté,1
magasin à charbon,1
maison d'habitation avec moulin,1
chambre chaude,1
casernes no. 1,1
ecole de pharmacie,1
casernes no. 2,1
cave (jardin dessus),1
fenil construits par giroud,1
boucher,1
escalier de 0.14c,1
atelier d'ajustage de menuiserie,1
atelier de construction,1
place sur laquelle est construite un escalier,1
teinturerie,1
fabrique de chaussures,1
fabrique de bougies,1
dépôt de suif,1
canal (place),1
hangar construits par boucher et fils,1
sentier (place),1
l'autre part est portée sous article 2206,1
l'autre part est portée sous article 59,1
la 1/2 indéterminée d'une place soit canal indivis de 0a.50c en totalité,1
l'autre part est portée sous article,1
hangar servant de magasin à bois,1
maison d'habitation ayant magasin et atelier,1
place sur laquelle est construit un bâtiment porté sous article 3533,1
machines électriques de 0a.74c construit sur les sol porté sous article 3766,1
basserie,1
magasin des graisses,1
hangar à écorce,1
broyeur,1
trempes,1
atelier de mécanicien,1
atelier de charpentiers,1
presse à déchets,1
chaudières à vapeur,1
presses à tan,1
séchage et emballage de la bourre,1
ateliers de rivière,1
rodières,1
mises en huile,1
creux à chaux,1
pélins,1
mise en huile,1
fosses,1
corroierie,1
atelier de rivière,1
dragage et mise au vent,1
vestiaire,1
l'autre part portée sous article 1375,1
l'autre part portée sous article 512,1
douane,1
hangar (atelier),1
tonhalle,1
hangar construit par robellaz,1
chambre à repassage et étendage,1
atelier de marbrerie,1
parc (pré),1
atelier (société des eaux),1
atelier de charron (rod),1
magasins à bois,1
bureaux (ramuz,1
dame),1
magasin à bois (petit),1
bûcher (construit par regamey),1
hôtel du faucon,1
boutique,1
dépendances,1
chambres à lessive et à repasser,1
chambre à fumer,1
l'autre part est sous article 693,1
l'autre part est sous article 513,1
place (soit chemin),1
glacière de 0a.11 construit sur le sol porté sous article 1936,1
pavillon de 0a.28 construit sur le sol porté sous article 1936,1
pavillon de 0a.23 construit sur le sol porté sous article 1936,1
place sur laquelle est construit un bâtiment porté sous article 730,1
casino-théâtre,1
magasin de 14a.10 construits sur le sol porté sous article 1936,1
véranda de 01.70 construite sur le sol porté sous article 1936,1
latrines de 0a.11 construite sur le sol porté sous article 1936,1
latrines de 0a.10 construite sur le sol porté sous article 1936,1
jeux de quille,1
pavillon (musique),1
hôtel belle-vue,1
arrière magasin,1
l'autre part est sous article 3530,1
l'autre part est sous article 76,1
hôtel du nord,1
jardin dessus,1
2/6 indéterminés d'une place indivise de 0,1
les autres parts sont sous articles 1425,1
l'autre part est sous article 484,1
l'autre part est sous article 3441,1
logements aux étages supérieurs d'une maison de 01.24c,1
le rez-de-chaussée est porté sous article 2478,1
logement au rez-de-chaussée,1
les étages supérieurs sont portés sous article 2576,1
dépôt du magasin,1
petites boucheries de 1a.35 construites sur le domaine public,1
four mécanique,1
1/3 d'escalier de 0.21 en totalité,1
l'autre part est portée sous article 1465,1
2/3 indéterminé d'une place indivise de 0.39 en totalité,1
l'autre part est sous article 215,1
1/3 indéterminé d'une place indivise de 0.39 en totalité,1
l'autre part est sous article 1466,1
abattoir du petit bétail,1
place (escalier),1
maison d'habitation dont la 1/2 de l'allée et de l'escalier sont la copropriété du no. 194 article 3348,1
maison d'habitation avec  1/2 de l'allée et de l'escalier sous no. 193 article 526,1
cave de 0a.96c dans le bâtiment porté sous article 259,1
maison d'habitation avec cave portée sous article 1582,1
café. dans ce bâtiment est une chambre portée sous article 490,1
maison d'habitation de 1a.10c avec chambre construite sur le domaine public (escaliers des grandes roches),1
2/3 d'escalier de 0.21c en tot.,1
l'autre 1/3 est porté sous art. 215,1
1er étage d'un bâtiment de 10,1
les autres parts sont portées sous art. 2788,1
245,1
maison d'habitation dans laquelle es située une cave de 0.50 portée sous art. 1777,1
cave de 0.50 sous le rez-de-chaussée à l'angle nord ouest du bâtiment porté sous art. 1671,1
1er étage et 1/2 au nord du 3me,1
le 4me et le galetas d'un bâtiment de 0,1
24 construit sur le domaine public. l'autre part sous art. 1233,1
2me étage et 1/2 au midi d'un bâtiment de 24 construit sur le domaine public. l'autre part est sous art. 787,1
1/2 d'escalier de 0a.05c en totalité construit sur le domaine public. l'autre part est portée sous art. 775,1
remise de roue hydraulique construite sur domaine public 0.20c,1
logement de 0.13c construit sur domaine public,1
logement de 0.20c construit sur domaine public,1
tannerie,1
2 magasins,1
chambre de bains,1
dans laquelle est une cave de 0a.07 portée sous art. 688,1
